NOMREG;NOMDEP;VILLE;NOM DU MUSEE;ADR;CP;ANNREOUV;FERME;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;;;;;;;;;;
cx;wx;qs;za;re;ds;df;NON;ds;ez;ds
BOURGOGNE;NIEVRE;POUILLY-SUR-LOIRE;Musee Ernest Guedon;17, quai Jules-Pabiot;58150;;OUI;;24/12,25/12;
BOURGOGNE;NIEVRE;SAINT-AMAND-EN-PUISAYE;Musee du Gres de Puisaye;Château de Saint-Amand;58310;;NON;www.cg58.fr - Site musees de Bourgogne;01/01,01/04,25/12;
BOURGOGNE;NIEVRE;VARZY;Musee Auguste Grasset;Place de la Mairie;58210;;NON;www.cg58.fr ou www.musees-bourgogne.org;;
BOURGOGNE;SAONE ET LOIRE;AUTUN;Museum d'Histoire Naturelle Jacques de La Comble;14, Rue Saint-Antoine;71400;;NON;www.autun.com/tourisme/museum.php;;
BOURGOGNE;SAONE ET LOIRE;AUTUN;Musee Verger Tarin;Rue des Sous-Chantres;71400;;OUI;;24/12,25/12,11/11;
BOURGOGNE;SAONE ET LOIRE;AUTUN;Musee Rolin;5, rue des Bancs;71400;;NON;www.autun.com ou Site des musees de Bourgogne;24/12,25/12;
BOURGOGNE;SAONE ET LOIRE;AUTUN;Musee Lapidaire Saint-Nicolas;Rue Saint Nicolas;71400;;OUI;;;
BOURGOGNE;SAONE ET LOIRE;BLANZY;Musee de la Mine;34, rue du Bois Clair;71450;;NON;www.ecomusee-creusot-montceau.fr Site des musees de Bourgogne et de l'ecomusee;01/11-01/04;
BOURGOGNE;SAONE ET LOIRE;BOURBON-LANCY;Musee Saint-Nazaire;Rue St Nazaire;71140;;NON;Site des musees de Bourgogne ou www.bourbon-lancy.com/musees_fr_02_07_02.html;;
BOURGOGNE;SAONE ET LOIRE;CHALON-SUR-SAONE;Musee Nicephore Niepce;28, Quai des Messageries;71100;;NON;www.museeniepce.com;;
BOURGOGNE;SAONE ET LOIRE;CHALON-SUR-SAONE;Musee Denon;Place de l'hotel de ville;71100;;NON;site des musees de Bourgogne;;
BOURGOGNE;SAONE ET LOIRE;CHAROLLES;Musee du Prieure de Charolles;Rue du Prieure;71120;;NON;Site des musees de Bourgogne ou site de la ville - http://www.ville-charolles.fr/musee-du-prieure;;
BOURGOGNE;SAONE ET LOIRE;CHAROLLES;Musee Rene Davoine;32, rue Rene Davoine;71120;;OUI;www.institut-charolais.com (site de l'office du tourisme);24/12,25/12;
BOURGOGNE;SAONE ET LOIRE;CLUNY;Musee d'Art et d'Archeologie;Palais Jean de Bourbon Parc abbatial;71250;;NON;Site des musees de Bourgogne;11/11,01/12-01/04;
BOURGOGNE;SAONE ET LOIRE;LE CREUSOT Cedex;Musee de l'Homme et de l'Industrie - Ecomusee de la Communaute Le Creusot-Monceau-Les-Mines;Château de la Verrerie B.P. 53;71202;;NON;www.ecomusee-creusot-montceau.fr;01/11-01/04;
BOURGOGNE;SAONE ET LOIRE;LOUHANS;"L'Atelier d'un Journal"" de Louhans - Musee Municipal";29, Rue des Dodânes;71500;;NON;www.ecomusee-de-la-bresse.com ou site des musees de Bourgogne;01/11-01/04;
BOURGOGNE;SAONE ET LOIRE;MACON;Musee des Ursulines;5, rue des Ursulines;71000;;NON;http://www.macon.fr/Culture-sports-et-loisirs/Les-Musees-de-Macon;01/11-01/04;
BOURGOGNE;SAONE ET LOIRE;MACON;Musee Lamartine;41, Rue Sigorgne;71000;;NON;http://www.macon.fr/Culture-sports-et-loisirs/Les-Musees-de-Macon;;
BOURGOGNE;SAONE ET LOIRE;MARCIGNY;Musee de la Tour du Moulin;7-9, rue de la Tour;71110;;NON;www.marcigny.fr/musee-de-la-tour-du-moulin - http://tourdumoulin.blogspot.com;;
BOURGOGNE;SAONE ET LOIRE;PARAY-LE-MONIAL;Musee Eucharistique du Hieron;13, Rue de la Paix;71600;;NON;www.musee-hieron.fr;;
BOURGOGNE;SAONE ET LOIRE;PARAY-LE-MONIAL;Musee Municipal;Avenue Jean-Paul II;71600;;OUI;;;
BOURGOGNE;SAONE ET LOIRE;PIERRE-DE-BRESSE;Ecomusee de la Bresse Bourguignonne;Château departemental;71270;;NON;www.ecomusee-de-la-bresse.com;;
BOURGOGNE;SAONE ET LOIRE;ROMANECHE-THORINS;Musee Departemental du Compagnonnage;Le Bourg;71570;;NON;http://www.cg71.fr/musee_compagnonnage/ ou http://musee-compagnonnage.cg71.fr;24/12,25/12;
BOURGOGNE;SAONE ET LOIRE;ROMENAY;Musee du Terroir;Le Champ Bressan;71470;;NON;;01/01,01/04,25/12;
BOURGOGNE;SAONE ET LOIRE;SOLUTRE-POUILLY;Musee Departemental de Prehistoire de Solutre;;71960;;NON;www.musees-bourgogne.org;;
BOURGOGNE;SAONE ET LOIRE;TOURNUS;Musee Bourguignon -  Perrin de Puycousin;8, Place de l'Abbaye;71700;;OUI;Site des musees de Bourgogne;11/11,01/12-01/04;
BOURGOGNE;SAONE ET LOIRE;TOURNUS;HOtel Dieu - Musee Greuze;21, rue de l'hOpital;71700;;NON;Site des musees de Bourgogne;;
BOURGOGNE;SAONE ET LOIRE;VERDUN-SUR-LE-DOUBS;Maison du Ble et du Pain;2, Rue de l'Egalite;71350;;NON;www.verdunsurledoubs.fr rubrique culture ou www.ecomusee-de-la-bresse.com;;
BOURGOGNE;YONNE;AUXERRE;Musee Leblanc-Duvernois;9 bis, Rue d'Egleny;89000;;NON;Site des musees de Bourgogne;24/12,25/12,11/11;
BOURGOGNE;YONNE;AUXERRE;Musee d'Art et d'Histoire;Abbaye St-Germain 2 bis, Place Saint-Germain;89000;;NON;Site des musees de Bourgogne;;
BOURGOGNE;YONNE;AUXERRE;Museum - Maison de l'Eau;5, Boulevard Vauban;89000;;NON;Site des musees de Bourgogne;24/12,25/12,11/11;
BOURGOGNE;YONNE;AVALLON Cedex;Musee de l'Avallonnais;5, Rue du College B.P. 67;89206;;NON;www.museeavallonnais.fr- site des musees de Bourgogne - site ville;;
BOURGOGNE;YONNE;NOYERS-SUR-SEREIN;Musee des Arts Naïfs et Populaires de Noyers sur Serein;25, Rue de l'Eglise;89310;;NON;Site des musees de Bourgogne ou www.noyers-sur-serein.com/artnaif.htm;;
BOURGOGNE;YONNE;SAINT-FARGEAU;Musee de l'Aventure du Son;Place de l'hOtel de ville;89170;;NON;www.aventureduson.fr;;
BOURGOGNE;YONNE;SAINT-SAUVEUR-EN-PUISAYE;Musee Colette;Château;89520;;NON;www.centre-colette.com - http://www.yonne-89.net/MuseeColette.htm;;
BOURGOGNE;YONNE;SENS;Musee Muncipal;Place de la Cathedrale;89100;;NON;Site des musees de Bourgogne;01/01,01/04,25/12;
BOURGOGNE;YONNE;TONNERRE;Musee Municipal de Tonnerre;22, Rue Rougemont;89700;;OUI;;01/11-01/04;
BOURGOGNE;YONNE;VEZELAY;Musee Zervos;Rue Saint-Etienne Maison Romain-Rolland;89450;;NON;www.musee-zervos.fr;24/12,25/12,11/11;
BOURGOGNE;YONNE;VILLENEUVE-SUR-YONNE;Musee Villeneuvien;Porte de Joigny et 2, Rue Carnot;89500;;NON;Site de la ville;24/12,25/12,11/11;
BOURGOGNE;YONNE;VILLIERS-SAINT-BENOIT;Musee d'Art et d'Histoire du Puisaye;Rue Paul-Huillard;89130;;NON;;01/11-01/04;
BRETAGNE;COTES D'ARMOR;DINAN;Musee du Château de Dinan;Rue du Château;22100;;NON;www.mairie-dinan.com;01/01,01/04,25/12;
BRETAGNE;COTES D'ARMOR;LAMBALLE Cedex;Musee Mathurin Meheut;Place du Martray B.P. 70418;22404;;NON;www.musee-meheut.fr;24/12,25/12;
BRETAGNE;COTES D'ARMOR;SAINT-BRIEUC;Musee d'Art et d'Histoire;Cour Francis Renaud Rue des Lyceens Martyrs;22000;;NON;www.mairie-saint-brieuc.fr;;
BRETAGNE;FINISTERE;BREST;Musee des Beaux-Arts de Brest;24, Rue Traverse;29200;;NON;www.musee-brest.com;;
BRETAGNE;FINISTERE;BREST;Musee National de la Marine;Château de Brest;29240;;NON;www.mairie-brest.fr/musee_marine.htm ou www.musee-marine.fr;01/11-01/04;
BRETAGNE;FINISTERE;COMMANA;Ecomusee des Monts d'Arree - Moulins de Kerouat;Moulins de Kerouat;29450;;NON;www.ecomusee-monts-arree.fr;11/11,01/12-01/04;
BRETAGNE;FINISTERE;CONCARNEAU Cedex;Musee de la Pêche;3, Rue Vauban B.P. 118;29181;;NON;www.concarneau-cornouaille.fr;24/12,25/12;
BRETAGNE;FINISTERE;DOUARNENEZ;Le Port-Musee;Place de l'Enfer;29100;;NON;www.port-musee.org;;
BRETAGNE;FINISTERE;MORLAIX;Musee de Morlaix;Place des Jacobins;29600;;NON;www.musee.ville.morlaix.fr;01/01,01/04,25/12;
BRETAGNE;FINISTERE;OUESSANT;Musee des Phares et Balises;Le Creac'h;29242;;NON;www.parc-naturel-armorique.fr;01/11-01/04;
BRETAGNE;FINISTERE;OUESSANT;Ecomusee de l'Ile d'Ouessant - Maison du Niou Huella;Le Niou Huella;29242;;NON;www.parc-naturel-armorique.fr;01/11-01/04;
BRETAGNE;FINISTERE;PONT-AVEN;Musee de Pont-Aven;Place de l'HOtel de Ville;29930;;NON;www.pontaven.fr;;
BRETAGNE;FINISTERE;PONT-L'ABBE;Musee Bigouden;Square de l'Europe;29120;;NON;www.museebigouden.fr;24/12,25/12,11/11;
BRETAGNE;FINISTERE;QUIMPER;Musee des Beaux-Arts;40, Place Saint-Corentin;29000;;NON;http//musee-beauxarts.quimper.fr;01/11-01/04;
BRETAGNE;FINISTERE;QUIMPER;Musee Departemental Breton;Palais des Evêques 1, Rue du Roi Gradlon;29000;;NON;www.cg29.fr/culture/mdb.htm - Site en cours;;
BRETAGNE;FINISTERE;RIVOAL;Ecomusee des Monts d'Arree - Maison Cornec;Maison Cornec;29190;;NON;www.ecomusee-monts-arree.fr;11/11,01/12-01/04;
BRETAGNE;FINISTERE;TREGARVAN;Musee de l'Ecole Rurale en Bretagne;Kergroas;29560;;NON;www.musee-ecole.fr;;
BRETAGNE;ILE ET VILAINE;MONTFORT-SUR-MEU;Ecomusee du Pays de Montfort;2, Rue du Château;35160;;NON;www.ecomusee-broceliande.com  - http://ecomuseepaysmontfort.free.fr/;;
BRETAGNE;ILE ET VILAINE;MONTREUIL-SOUS-PEROUSE;Musee de la Faucillonnaie;Manoir de la Faucillonnaie;35500;;OUI;Site de l'office du tourisme;01/01,01/04,25/12;
BRETAGNE;ILE ET VILAINE;RENNES;Musee des Beaux-Arts;20, Quai Emile Zola;35100;;NON;www.mbar.org;11/11,01/12-01/04;
BRETAGNE;ILE ET VILAINE;RENNES;Ecomusee du Pays de Rennes;Ferme de la Bintinais Route de Noyal-Châtillon-sur-Seiche;35200;;NON;www.ecomusee-rennes-metropole.fr;;
BRETAGNE;ILE ET VILAINE;RENNES Cedex;Musee de Bretagne;46, boulevard Magenta CS 51138;35011;;NON;www.musee-bretagne.fr;;
BRETAGNE;ILE ET VILAINE;SAINT-MALO CEDEX;Musee d'Histoire de la Ville de Saint-Malo;Château Esplanade Felicite Lamennais - B.P. 147;35401;;NON;Site de la ville;01/11-01/04;
BRETAGNE;ILE ET VILAINE;SAINT-MALO CEDEX;Musee International du Long-Cours Cap-Hornier;Tour Solidor Esplanade du Commandant Menguy - B.P. 147;35401;;NON;Site de la ville - www.ville-saint-malo.fr;24/12,25/12;
BRETAGNE;ILE ET VILAINE;VITRE;Musee Saint-Nicolas;15, Rue Pasteur;35506;;NON;site de l'office du tourisme;01/01,01/04,25/12;
BRETAGNE;ILE ET VILAINE;VITRE;Musee des Rochers-Sevigne;Route d'Argentre du Plessis;35500;;NON;site de l'office du tourisme;;
BRETAGNE;ILE ET VILAINE;VITRE Cedex;Musee du Château;Place du Château;35506;;NON;site de l'office du tourisme;;
BRETAGNE;MORBIHAN;BREC'H;Ecomusee de Saint-Degan;;56400;;NON;www.ecomusee-st-degan.fr;24/12,25/12;
BRETAGNE;MORBIHAN;CARNAC;Musee de Prehistoire J. Miln- Z. Le-Rouzic;10, Place de la chapelle;56340;;NON;www.museedecarnac.com;24/12,25/12,11/11;
BRETAGNE;MORBIHAN;ILE DE GROIX;Ecomusee de l'Ile de Groix;Port-Tudy;56590;;NON;http://ecomusee.groix.free.fr;;
BRETAGNE;MORBIHAN;INZINZAC-LOCHRIST;Ecomusee Industriel des Forges;Mail François Giovannelli;56650;;NON;www.inzinzac-lochrist.fr/Ecomusee-des-Forges.6681.0.html;;
BRETAGNE;MORBIHAN;LE FAOUET;Musee du Faouët;1, Rue de Quimper;56320;;NON;www.museedufaouet.fr;11/11,01/12-01/04;
BRETAGNE;MORBIHAN;PORT-LOUIS;Musee de la Compagnie des Indes;Citadelle de Port-Louis;56290;;NON;www.lorient.com/musee;;
BRETAGNE;MORBIHAN;PORT-LOUIS;Musee National de la Marine;Citadelle de Port-Louis;56290;;NON;www.musee-marine.fr;;
BRETAGNE;MORBIHAN;SAINT-MARCEL - MALESTROIT;Musee de la Resistance Bretonne;Les Hardys-Behelec;56140;;NON;www.resistance-bretonne.com;;
BRETAGNE;MORBIHAN;SARZEAU;Musee du Château de Suscinio;;56370;;NON;www.suscinio.info;24/12,25/12;
BRETAGNE;MORBIHAN;VANNES;Musee d'Histoire et d'Archeologie de Vannes;Château Gaillard 2, Rue Noe;56000;;NON;;;
BRETAGNE;MORBIHAN;VANNES;La Cohue, Musee des Beaux-Arts de vannes;9 et 15 Place Saint-Pierre;56000;;NON;;24/12,25/12,11/11;
CENTRE;CHER;BOURGES;Musee Esteve;HOtel des Echevins 13, Rue Edouard Branly;18000;;NON;Site de la ville : www.ville-bourges.fr;01/01,01/04,25/12;
CENTRE;CHER;BOURGES;Musee des Meilleurs Ouvriers de France;Place Etienne Dolet;18000;;NON;Site de la ville www.ville-bourges.fr;;
CENTRE;CHER;BOURGES;Musee d'Histoire Naturelle Gabriel Foucher;Parc Saint-Paul;18000;;NON;www.museum-bourges.net;;
CENTRE;CHER;BOURGES;Musee du Berry;HOtel Cujas 4, Rue des Arenes;18000;;NON;site de la ville www.ville-bourges.fr;;
CENTRE;CHER;BOURGES;Musee des Arts Decoratifs;HOtel Lallemant 5, Rue de l'HOtel Lallemant;18000;;NON;Site de la ville www.ville-bourges.fr;;
CENTRE;CHER;CHATEAUMEILLANT;Musee Emile Chenon;10-12, Rue de la Victoire;18370;;NON;;;
CENTRE;CHER;MEHUN-SUR-YEVRE;Musee du Château Charles VII;Place du General Leclerc;18500;;NON;http://www.ville-mehun-sur-yevre.fr/Le-Château;11/11,01/12-01/04;
CENTRE;CHER;SAINT-AMAND-MONTROND;Musee Saint-Vic;Cours Manuel;18200;;NON;;;
CENTRE;CHER;VIERZON;Musee Municipal - Fours Banaux;Service patrimoine Place Aristide Briand;18100;;OUI;site de la ville;01/11-01/04;
CENTRE;EURE ET LOIR;BONNEVAL;Musee Bonnevallais;Rue des Ecoles;28800;;OUI;;;
CENTRE;EURE ET LOIR;CHARTRES;Musee des Beaux-Arts;Direction des Arts et du Patrimoine Culturel et Historique 29, CloItre Notre-Dame;28000;;NON;www.ville-chartres.fr ou www.musees.regioncentre.fr/defaulttest.php;24/12,25/12;
CENTRE;EURE ET LOIR;CHARTRES;Museum des Sciences Naturelles et de Prehistoire;5 bis, Bd de la Courtille;28000;;NON;site de la ville : www.ville-chartres.fr ou http://perso.wanadoo.fr/samnel.museum/;01/01,01/04,25/12;
CENTRE;EURE ET LOIR;CHARTRES-MAINVILLIERS;Conservatoire du Machinisme et des Pratiques Agricoles;1, rue de la Republique;28300;;NON;www.lecompa.com;01/01,01/04,25/12;
CENTRE;EURE ET LOIR;CHATEAUDUN;Musee des Beaux-Arts et d'Histoire Naturelle;3, rue Toufaire;28200;;NON;www.ville-chateaudun.fr ou www.musees.regioncentre.fr;;
CENTRE;EURE ET LOIR;DREUX;Musee d'Art et d'Histoire Marcel Dessal;5-7, Place du musee;28100;;NON;www.musees.regioncentre.fr - site de la region;24/12,25/12;
CENTRE;EURE ET LOIR;ILLIERS-COMBRAY;Musee Marcel Proust;4, rue du Docteur Proust B.P. 20025;28120;;NON;http://perso.orange.fr/marcelproust/;;
CENTRE;EURE ET LOIR;NOGENT-LE-ROTROU;Musee du Château Saint-Jean;Rue du Château;28400;;NON;www.ville-nogent-le-rotrou.fr/html/art_cult/musee/collec.htm;11/11,01/12-01/04;
CENTRE;EURE ET LOIR;SAINVILLE;Musee Farcot;Place Farcot;28700;;OUI;mairie.perso.fr/sainville/index.htm;;
CENTRE;INDRE;ARGENTON-SUR-CREUSE;Musee de la Chemiserie et de l'Elegance Masculine;Rue Charles Brillaud BP 154;36200;;NON;http://chemiserie.cc-argenton.fr;01/01,01/04,25/12;
CENTRE;INDRE;AZAY-LE-FERRON;Château Musee;35 Rue Hersent Luzarche;36290;;NON;www.château-azay-le-ferron.com;01/01,01/04,25/12;
CENTRE;INDRE;CHATEAUROUX;Musees de Châteauroux - HOtel Bertrand;2, Rue Descente-des-Cordeliers;36000;;NON;www.ville-chateauroux.fr - Site de la ville;;
CENTRE;INDRE;ISSOUDUN Cedex;Musee de l'Hospice Saint-Roch;23, Rue de l'Hospice Saint-Roch B.P. 150;36100;;NON;www.issoudun.fr;;
CENTRE;INDRE;LA CHATRE;Musee George Sand et de la Vallee Noire;71, Rue VenOse;36400;;NON;Site de la region ou www.pays-george-sand.com;;
CENTRE;INDRE;LANGE;Musee de Geologie Regionale;;36600;;OUI;;;
CENTRE;INDRE;LE BLANC;Musee Ornithologique (Ecomusee de la Brenne);Château Naillac;36300;;NON;Site de la region centre;11/11,01/12-01/04;
CENTRE;INDRE;SAINT-MARCEL;Musee Archeologique d'Argentomagus;"""Les Mersans"" B.P. 6";36200;;NON;www.argentomagus.com ou www.argentomagus.cc-argenton.fr;;
CENTRE;INDRE ET LOIRE;AMBOISE;Musee de la poste;6, Rue Joyeuse;37400;;OUI;;;
CENTRE;INDRE ET LOIRE;AMBOISE Cedex;Musee de l'HOtel de Communes;60, Rue Concorde B.P. 247;37402;;NON;Site de la ville www.ville-amboise.fr;;
CENTRE;INDRE ET LOIRE;CHINON;Musee du Vieux Chinon;44, Rue Haute-Saint-Maurice;37500;;NON;www.chinon-histoire.org;;
CENTRE;INDRE ET LOIRE;DESCARTES;"""Maison Musee"" Rene Descartes";29, Rue Descartes;37160;;NON;www.ville-descartes.fr/pratique/f_pratique.htm;11/11,01/12-01/04;
CENTRE;INDRE ET LOIRE;LE GRAND PRESSIGNY;Musee de Prehistoire du Grand Pressigny;Château du Grand-Pressigny;37350;;NON;www.prehistoiregrandpressigny.fr;;
CENTRE;INDRE ET LOIRE;LOCHES;Musee du Terroir;;37600;;OUI;;;
CENTRE;INDRE ET LOIRE;LOCHES;Musee Lansyer;1, rue Lansyer;37600;;NON;Site de la region centre ou http://www.lochesentouraine.com;24/12,25/12,11/11;
CENTRE;INDRE ET LOIRE;RICHELIEU;Musee de l'HOtel de Ville;1, Place du Marche;37120;;NON;http://www.cc-pays-de-richelieu.fr;;
CENTRE;INDRE ET LOIRE;SACHE;Musee Balzac;Château de Sache;37190;;NON;www.musee-balzac.fr;;
CENTRE;INDRE ET LOIRE;SAINTE-MAURE-DE-TOURAINE;Musee Municipal;Place du Château;37800;;OUI;;11/11,01/12-01/04;
CENTRE;INDRE ET LOIRE;SAVIGNE-SUR-LATHAN;Musee du Savigneen;10, Faubourg Rue;37340;;NON;www.museedusavigneen.com;;
CENTRE;INDRE ET LOIRE;SAVIGNY-EN-VERON;Ecomusee du Veron;80, Route de Candes;37420;;NON;www.cc-veron.fr/ecomusee;;
CENTRE;INDRE ET LOIRE;SEUILLY;Musee Rabelais;Maison de la Deviniere;37500;;NON;www.musee-rabelais.fr ou site du conseil general;;
CENTRE;INDRE ET LOIRE;TOURS;Museum d'Histoire Naturelle;3, Rue du President Merville;37000;;NON;www.museum.tours.fr;01/11-01/04;
CENTRE;INDRE ET LOIRE;TOURS;Musee du Compagnonnage;CloItre Saint-Julien 8, Rue Nationale;37000;;NON;www.museecompagnonnage.fr;;
CENTRE;INDRE ET LOIRE;TOURS;Musee des Vins de Touraine;Cellier Saint-Julien 16, Rue Nationale;37000;;NON;site de la ville;;
CENTRE;INDRE ET LOIRE;TOURS;Musee des Beaux-Arts;18, Place François Sicard;37000;;NON;www.tours.fr ou www.musees-regioncentre.fr ou www.framemuseums.org;;
CENTRE;INDRE ET LOIRE;TOURS Cedex;Musee de l'HOtel Goüin;25, Rue du Commerce B.P. 1105;37011;2018OUI;OUI;Site du conseil general;;
CENTRE;INDRE ET LOIRE;YZEURES-SUR-CREUSE;Musee de Minerve;Place du Musee;37290;;NON;;;
CENTRE;LOIR ET CHER;BLOIS;Château Musees de Blois;Château de Blois;41000;;NON;www.chateaudeblois.fr;;
CENTRE;LOIR ET CHER;BLOIS;Museum d'Histoire Naturelle;"""Les Jacobins""  Rue Anne de Bretagne";41000;;NON;www.ville-blois.fr;;
CENTRE;LOIR ET CHER;BLOIS;Maison de la Magie;1, Place du Château;41000;;NON;www.maisondelamagie.fr;11/11,01/12-01/04;
CENTRE;LOIR ET CHER;MER;Musee de la Corbilliere;Château de la Corbilliere;41500;;NON;;01/01,01/04,25/12;
CENTRE;LOIR ET CHER;NAVEIL;Atelier Musee Louis Leygue;106, Rue des Venages;41100;;NON;;11/11,01/12-01/04;
CENTRE;LOIR ET CHER;ROMORANTIN-LANTHENAY Cedex;Musee de Sologne;Moulin du Chapitre B.P. 147;41206;;NON;www.museedesologne.com;24/12,25/12;
CENTRE;LOIR ET CHER;THESEE;Musee Archeologique;HOtel de Ville;41140;;NON;www.musees.regioncentre;11/11,01/12-01/04;
CENTRE;LOIR ET CHER;VENDOME;Musee de VendOme;CloItre de la Trinite;41100;;NON;www.vendome.eu/intro/1p1e-421-musee-vendome.html-vendome.html ou www.musees.regioncentre.fr;;
CENTRE;LOIRET;ARTENAY;Musee Municipal Theâtre Forain et Archeologique;Quartier du Paradis;45410;;NON;www.musee-theatre-forain.fr;24/12,25/12;
CENTRE;LOIRET;BEAUGENCY;Musee Daniel Vannier;HOtel de Ville - Service patrimoine 20, Rue du Change;45190;;OUI;site de la region ou www.patrimoine-beaugency.fr;;
CENTRE;LOIRET;CHATEAUNEUF-SUR-LOIRE;Musee de la Marine de Loire;Ecuries du Château 1, Place Aristide Briand;45110;;NON;www.chateauneuf-sur-loire.com ou www.musees-centre.com;;
CENTRE;LOIRET;CHATILLON-COLIGNY;Musee d'Art et d'Archeologie;2, Faubourg Puyrault;45230;;NON;http://www.ifrance.com/chatillon-coligny;01/11-01/04;
CENTRE;LOIRET;GIEN Cedex;Musee International de la Chasse;Château de Gien B.P. 99;45503;;NON;www.château-gien.com;;
CENTRE;LOIRET;MEUNG-SUR-LOIRE;Musee Gaston Coute;Espace culturel La Monnaye 22 Rue des Remparts;45130;;NON;www.meung-sur-loire.com;;
CENTRE;LOIRET;MONTARGIS;Musee Girodet;2, rue de la Chaussee;45200;;OUI;www.montargis.fr/musee.htm;01/11-01/04;
CENTRE;LOIRET;MONTARGIS;Musee du Gatinais;7, Rue du Château;45200;;OUI;;01/01,01/04,25/12;
CENTRE;LOIRET;ORLEANS;Museum des Sciences Naturelles;6, Rue Marcel Proust;45000;;NON;;01/01,01/04,25/12;
CENTRE;LOIRET;ORLEANS;Musee des Beaux-Arts;1, rue Fernand Rabier;45000;;NON;Region : www.musees.regioncentre.fr ou  www.orleans.fr (rubrique culture/musee);;
CENTRE;LOIRET;ORLEANS;Musee Historique et Archeologique;Square Abbe Desnoyers HOtel Cabu;45000;;NON;Site de la ville;;
CENTRE;LOIRET;PITHIVIERS Cedex;Musee Municipal;Direction de l'action culturelle 5, Place Denis Poisson - B.P. 706;45307;;OUI;;01/01,01/04,25/12;
CHAMPAGNE-ARDENNE;ARDENNES;BAZEILLES;Musee de la Maison de la Derniere Cartouche;12 Avenue de la Derniere Cartouche;8140;;NON;www.maisondeladernierecartouche.com;01/01,01/04,25/12;
CHAMPAGNE-ARDENNE;ARDENNES;CHARLEVILLE-MEZIERES;Musee de l'Ardenne;31, Place Ducale;8000;;NON;www.mairie-charlevillemezieres.fr/htm/culture/rimbaud.htm;;
CHAMPAGNE-ARDENNE;ARDENNES;CHARLEVILLE-MEZIERES;Musee Arthur Rimbaud;Quai Arthur Rimbaud;8000;;NON;www.mairie-charlevillemezieres.fr/htm/culture/rimbaud.htm;;
CHAMPAGNE-ARDENNE;ARDENNES;GIVET;Musee de Givet;Mairie 11, Place Carnot;8600;;OUI;;;
CHAMPAGNE-ARDENNE;ARDENNES;MOUZON;Musee du Feutre;Mairie;8210;;NON;www.culture.gouv.fr/champagne-ardenne/2culture/musee_france/musee_mouzon.html;;
CHAMPAGNE-ARDENNE;ARDENNES;RETHEL;Musee du Rethelois et du Porcien;Place Noiret-Chaigneau;8300;;OUI;;24/12,25/12;
CHAMPAGNE-ARDENNE;ARDENNES;SEDAN;Musee du Château-Fort;BP 10322;8200;;NON;www.chateau-fort-sedan.fr;01/01,01/04,25/12;
CHAMPAGNE-ARDENNE;AUBE;BAR-SUR-AUBE CEDEX;Musee Municipal;HOtel de ville Place Carnot - B.P. 110;10202;;OUI;;;
CHAMPAGNE-ARDENNE;AUBE;BRIENNE-LE-CHATEAU;Musee Napoleon Ier;34, Rue de l'Ecole Militaire;10500;;NON;www.ville-brienne-le-château.fr;11/11,01/12-01/04;
CHAMPAGNE-ARDENNE;AUBE;MUSSY-SUR-SEINE;Musee de la Resistance;Rue Boursault;10250;;NON;Site de l'OT;01/01,01/04,25/12;
CHAMPAGNE-ARDENNE;AUBE;NOGENT-SUR-SEINE Cedex;Musee Paul Dubois - Alfred Boucher;Rue Gue de la Loge B.P. 40;10401;;OUI;www.musee-nogent-sur-seine.fr;01/11-01/04;
CHAMPAGNE-ARDENNE;AUBE;TROYES;Musee Historique de Troyes et de la Champagne;4, Rue Vauluisant;10000;;NON;;24/12,25/12,11/11;
CHAMPAGNE-ARDENNE;AUBE;TROYES;Musee d'Art Moderne;14, Place Saint-Pierre;10000;;NON;Site de la ville;;
CHAMPAGNE-ARDENNE;AUBE;TROYES;Musee des Beaux-Arts;1, Rue Chrestien-de-Troyes;10000;;NON;;01/11-01/04;
CHAMPAGNE-ARDENNE;AUBE;TROYES;Museum d'Histoire Naturelle;4, Rue Chrestiens de Troyes;10000;;NON;Site de la ville;;
CHAMPAGNE-ARDENNE;AUBE;TROYES;Musee de la Bonneterie;Conservation des Musees  2, rue Chrestien de Troyes;10000;;NON;www.ville-troyes.fr;;
CHAMPAGNE-ARDENNE;AUBE;TROYES;Pharmacie Musee de l'HOtel-Dieu;Quai des Comtes-de-Champagne;10000;;NON;;01/01,01/04,25/12;
CHAMPAGNE-ARDENNE;AUBE;TROYES;Maison de l'Outil  et de la Pensee Ouvriere;7, Rue de La Trinite;10000;;NON;www.maison-de-l-outil.com;;
CHAMPAGNE-ARDENNE;HAUTE-MARNE;BOURBONNE-LES-BAINS;Musee Municipal;POle Culturel - Mediatheque-musee de France Parc du Château;52400;;NON;www.culture.gouv.fr/champagne-ardenne/2culture/musee_france/musee_bourbonne.html;;
CHAMPAGNE-ARDENNE;HAUTE-MARNE;CHAUMONT;Musee de l'Affiche - mediatheque;7/9, Avenue Foch;52000;;OUI;;;
CHAMPAGNE-ARDENNE;HAUTE-MARNE;CHAUMONT;Musee des Beaux-Arts et d'Archeologie;Place du Palais;52000;;NON;http://www.ville-chaumont.fr;24/12,25/12;
CHAMPAGNE-ARDENNE;HAUTE-MARNE;LANGRES;Musee du Breuil de Saint-Germain;;52204;;OUI;;01/01,01/04,25/12;
